year, genre 
2007,Sufism
2007,Ghazal
2007,Playback singer
1992,Trip hop
1992,Electronica
1992,Jazz
1992,Experimental music
2002,Pop music
2002,Rhythm and blues
1981,Folk music
1983,Folk music
1983,Jazz
1899,Hindustani classical music
2003,Pop music
2003,Soul music
2003,Electropop
2007,Pop music
2007,Indie pop
1981,New wave music
1981,Synthpop
1981,Dark wave
1981,Electronic music
2007,Urban contemporary
2003,Pop music
1988,Dansband
1988,Schlager music
1956,Schlager music
1995,Progressive metal
1995,Doom metal
1995,Opera
1995,Avant-garde
1995,Classical music
1972,Heavy metal music
1972,Hard rock
1981,Pop music
1981,Celtic music
1965,Jazz
1949,Rhythm and blues
1949,Soul music
1949,Gospel music
1986,House music
1986,Hi-NRG
1986,Dance-pop
1986,Dance music
1986,Adult contemporary music
1991,Broadway theatre
1990,Eurodance
1970,Hard rock
1988,Contemporary Christian music
1988,Gospel music
1988,Traditional black gospel
1988,Urban contemporary gospel
1988,Christian R&B
1960,Blues
1960,Rhythm and blues
1960,Memphis soul
1987,Soul music
1987,Dance music
1980,Folk music
1980,Cajun music
1960,Funk
1960,Soul music
2011,Pop music
2011,Soul music
2011,Contemporary R&B
2003,Pop music
2003,Soul music
2003,Americana (music)
2003,Independent music
1970,Rock music
1970,Hard rock
1970,Folk rock
1970,Pop rock
1962,Gospel music
1962,Schlager music
1997,Indie rock
1997,Folk rock
1997,Shoegazing
1997,Dream pop
2006,Rhythm and blues
2006,Dance music
2008,Folk music
1985,Schlager music
2005,Art rock
2005,Indie rock
2005,Alternative rock
2005,Indie pop
2001,Rhythm and blues
2001,Soul music
2000,Pop music
2000,Jazz
2000,Chanson
1984,Art rock
1984,Alternative rock
1984,Pop rock
1984,Dance music
1997,Pop music
1997,Rock music
1997,Schlager music
1988,Pop music
1988,Jazz
1993,Pop music
1993,Musical theatre
1993,Music of the Philippines
1985,Psychedelic rock
1985,Rock music
1985,Blues rock
2003,Folk music
2003,Pop music
2003,Rock music
2009,Folk music
2010,J-pop
2010,Playback singer
1936,Big band
1936,Jazz
2009,Pop music
1970,Folk music
2011,J-pop
2005,Celtic metal
2005,Folk metal
2005,Pagan metal
2005,Melodic death metal
2003,Pop rock
2003,Adult album alternative
1978,Pop rock
1990,Electropop
1990,Psychedelic folk
1997,Pop music
1997,Electronic music
2011,Pop music
2011,Rock music
2011,Dance music
2000,Pop music
2002,Pop music
2003,Pop music
2010,Funk
2010,Heavy metal music
2010,Hard rock
2011,J-pop
2011,Dance music
2000,Pop music
2000,Dance music
2002,Pop music
2002,Dance-pop
2003,Blues
2003,Country music
2003,Indie rock
2003,Alternative rock
2003,Anti-folk
2003,Acoustic music
2004,Folk music
2004,Indie pop
2004,Indie folk
2004,Americana (music)
2008,Indie rock
2008,Indie pop
2008,Drone music
2005,Pop music
2007,Contemporary R&B
1982,New wave music
1982,Synthpop
1982,Experimental rock
1980,New wave music
1980,Pop music
1980,Alternative rock
1997,Folk music
1997,Alternative rock
1997,Independent music
2004,Pop music
2004,Soul
2008,Soul music
2008,Gospel music
2008,Contemporary R&B
1978,Pop music
1978,Rock music
1978,Dansband
1978,Schlager music
1970,Pop music
2004,Experimental rock
2004,Acoustic music
